algorithm,function,dimension,interaction,value
PSO,rastrigin,10,position_update_x_topology_gbest,-7.1673466187808295
PSO,rastrigin,30,velocity_constriction_x_position_update,-74.49146149615189
PSO,rastrigin,30,velocity_constriction_x_topology_gbest,-33.10924022214846
PSO,rastrigin,30,position_update_x_topology_gbest,-33.10924022214846
PSO,rastrigin,50,velocity_constriction_x_position_update,-121.97666755204074
PSO,rastrigin,50,velocity_constriction_x_topology_gbest,-62.015522303762225
PSO,rastrigin,50,position_update_x_topology_gbest,-62.015522303762225
PSO,schwefel,10,velocity_constriction_x_position_update,-1375.7914349779667
PSO,schwefel,10,velocity_constriction_x_topology_gbest,-179.7307952158734
PSO,schwefel,10,position_update_x_topology_gbest,-179.7307952158734
PSO,schwefel,30,velocity_constriction_x_position_update,-2695.557713247236
PSO,schwefel,30,velocity_constriction_x_topology_gbest,-611.5323697849694
PSO,schwefel,30,position_update_x_topology_gbest,-611.5323697849694
PSO,schwefel,50,velocity_constriction_x_position_update,-3546.16617146745
PSO,schwefel,50,velocity_constriction_x_topology_gbest,-792.4811629823907
PSO,schwefel,50,position_update_x_topology_gbest,-792.4811629823907
PSO,ackley,10,velocity_constriction_x_position_update,-4.222928389242256
PSO,ackley,10,velocity_constriction_x_topology_gbest,-1.5272077600905405
PSO,ackley,10,position_update_x_topology_gbest,-1.5272077600905405
PSO,ackley,30,velocity_constriction_x_position_update,-1.22701127193322
PSO,ackley,30,velocity_constriction_x_topology_gbest,-0.9731299952593577
PSO,ackley,30,position_update_x_topology_gbest,-0.9731299952593577
PSO,ackley,50,velocity_constriction_x_position_update,-0.9129784492779578
PSO,ackley,50,velocity_constriction_x_topology_gbest,-0.7815216289361011
PSO,ackley,50,position_update_x_topology_gbest,-0.7815216289361011
PSO,griewank,10,velocity_constriction_x_position_update,-92.68370655049486
PSO,griewank,10,velocity_constriction_x_topology_gbest,-11.759953333349637
PSO,griewank,10,position_update_x_topology_gbest,-11.759953333349637
PSO,griewank,30,velocity_constriction_x_position_update,-236.2344822495087
PSO,griewank,30,velocity_constriction_x_topology_gbest,-138.0175540425961
PSO,griewank,30,position_update_x_topology_gbest,-138.0175540425961
PSO,griewank,50,velocity_constriction_x_position_update,-378.52697869621085
PSO,griewank,50,velocity_constriction_x_topology_gbest,-291.64330524124495
PSO,griewank,50,position_update_x_topology_gbest,-291.64330524124495
PSO,levy,10,velocity_constriction_x_position_update,-25.134461832363215
PSO,levy,10,velocity_constriction_x_topology_gbest,-4.170563676456681
PSO,levy,10,position_update_x_topology_gbest,-4.170563676456681
PSO,levy,30,velocity_constriction_x_position_update,-87.76306000925484
PSO,levy,30,velocity_constriction_x_topology_gbest,-42.06191226305709
PSO,levy,30,position_update_x_topology_gbest,-42.06191226305709
PSO,levy,50,velocity_constriction_x_position_update,-129.0548947544971
PSO,levy,50,velocity_constriction_x_topology_gbest,-103.74834451771781
